name,personality,description
Touma,"Gentil, Honesto","Touma é uma pessoa muito gentil. Apesar de sua aparência, Touma é como qualquer outro cara, no sentido de que ele é de fato muito masculino. Ele pode ser tímido às vezes, o que exacerba seu pesado rubor, mas ele muda quando está na frente de um microfone cantando. Como qualquer outra pessoa, Touma pode ficar chateado (especialmente em Kou Mabuchi ), mas a sua melhor qualidade é a capacidade de falar o que pensa e a sua honestidade.

Ele inicialmente tem uma impressão muito ruim de Futaba, durante o qual ela tropeça e acaba acidentalmente tateando ele. No entanto, ele finalmente suaviza para ela quando ele percebe o quão arrependido ela se sente sobre o incidente. Devido a sua aparição séria, suas intenções depois de muitas vezes incompreendidas, geralmente fazendo com que Kou ficasse com ciúmes por sua interação com Futaba. Seus amigos o chamam de ""Goodie-goodie"" e ""Hasabe"" devido ao seu comportamento honesto e honesto. Ele se apaixona pela boa natureza de Futaba e se vê desejando que ela mude sua afeição por ele. Apesar disso, ele constantemente a apóia e lhe dá confiança."
Raika,"Prideful, Difficult","Raika is a character from the manga Elf-san wa Yaserarenai. She is a lycanthrope, or a werewolf. A common species, hard to please and difficult to deal with - and, since they're at the top of the food chain, their pride is off the charts. The humans brought Raika more food than she could handle - and she cannot bring herself to save it for later."
Gonda,"determined, self-conscious","Gonda is a character from the manga Elf-san wa Yaserarenai. She is a dragon, trying her best to lose weight."
Sainyang,"Introverted, Quiet","She was born in the secluded region of Shai-Fang to the north of the Continent, isolated from the outside world by steep and cloudy mountains. She and her sister Tarnyang are descendents of a lineage of “Anti-demon experts” (or exorcists) that has been carrying the responsibility of protecting the village for generations, left for a journey in the outside world to bring back the “Goshintai”. Sainyang is very quiet and introverted, and keeps to herself mainly. Sainyang is also taciturn and can only whisper in her elder sister’s ear."
Snow White,"Resilient, Brave","A beautiful princess from the Apple Kingdom. Envied by her Stepmother, the Queen, for her radiant beauty, Snow White was banished from her Kingdom to the woods and had myriad assassins sent against her. However, thanks to the discovery of a magic dagger deep within the forest, along with the awakening of her latent summoning abilities, the Queen’s plot took a different turn, with the princess growing only stronger and stronger with each ambush before becoming a powerful Beautiful Fighter in her own right."
Stein Kanata,"Responsible, Caring","Stein Kanata, or Senpai Kanata-chan, is described as a girl who raises glasses quickly and hits a gentle line of sight not to be soft. She is the first member of the Babylon that Ginga and Haruka met, she tours him in the ship in order to no have he to deturb the rest crew as he's the only male on the ship.
She is the technical manager on the Babylon and she has been engaged in space ship development at a shipyard of a public corporation in the moon orbit, the prestigious SPECE Corporation."
Deneb,"Loyal, Overprotective","She is the extraordinary captain of the huge mothership of the Cosmic Race's Queen Orihime whom she's her guardian and attendant, her identification code is Deneb.
She's very loyal and overprotective to her Queen Orihime and she wants her to be proud her.
She's scared by other people and particularly by males, but even so, she's friendly Deneb generally acts very shy and goofy, she's not used to human language nor video communications and at first seems unable to basically use them."
Naomasa,"protective, responsible","Naomasa  is a student from Qing-Takeda and Musashi Ariadust Academy, the 6th Special Agent of the Chancellor Board in charge of Field Operation. Uses her God of War Jizurisuzaku to fight and has an older sister-type personality.

Originally from Qing-Takeda. Works in the Musashi Engineering Club and lives alone in the dorms. Her right arm is mechanical."
Wendy,"morose, sisterly","Wendy is a morose young lady with a sisterly bond so powerful, it transcends death itself. Wendy has a morbid personality; she always relates everything (even herself) to death and how depressing life is.

She is haunted by her deceased twin sister."
Seraphina,"powerful, loyal",Seraphina is a student of Wellston High and one of the main protagonists of the unOrdinary. She is currently the most powerful student in the school and John's best friend. She is also the school's Ace and former Queen.
Kirishima Ikuya,"quiet, distrustful","(Age is 12-13 (High☆Speed! Vol. 2) / 17-18 (Free!-Take your marks-/Dive to the Future)
(Height is 143 cm (4'8"") (High☆Speed!) /173 cm (5'8"") (Free!-Take your marks-) /176 cm (5'9"") (Dive to the Future))

Ikuya Kirishima is one of the main characters in the movie High☆Speed！－Free! Starting Days－ and Free!'s third season, Free!-Dive to the Future-. He was also a minor character in the light novel High☆Speed!. He is the younger brother of the Iwatobi Junior High swimming club's captain, Natsuya Kirishima. He is currently studying at Shimogami University, where he is on the swim team, alongside his friend from America, Hiyori.

Ikuya is a feminine looking young man with teal hair, brown eyes and long, black eyelashes. He and his brother do not look particularly alike, but have the same eye color.

As of Free!-Dive to the Future-, Ikuya's hair seems to be slightly darker and shorter and he is shown to be quite muscular. He currently wears knee-length, black swimmers with subtle brown and gray designs.

In the beginning, Ikuya was rather quiet, cynical, and distrustful of others. He gradually started to warm up to his friends, eventually trusting them, though he still retains the quiet part of his personality."
